,Investment cost (M€),Technical cost (M€),Losses (M€),Overload cost (M€),Voltage cost (M€)
Solution 81,100.0,15339.10267681075,259.19318972087535,15079.848169027375,0.06131806249973981
Solution 82,100.0,15338.895786713232,259.23350263640515,15079.603085892593,0.0591981842344147
Solution 83,100.0,15338.312561973535,259.12282822888943,15079.144498008249,0.04523573639639855
Solution 84,100.0,15338.478747878087,259.324772268471,15079.090512646679,0.06346296293801157
Solution 85,100.0,15338.465525972866,259.3123016283818,15079.08974641854,0.06347792594464308
Solution 86,100.0,15333.20344202327,254.97440301133136,15078.168167479324,0.060871532614845014
Solution 87,100.0,15338.483041338708,259.3385891852915,15079.080997493218,0.06345466019833479
Solution 88,100.0,15333.443825614359,254.78196587491445,15078.600799108744,0.061060630700211616
Solution 89,100.0,15339.737741362827,259.12132872750925,15080.553615380131,0.0627972551870497
Solution 90,100.0,15338.81856205025,259.2790492727987,15079.47981454439,0.059698233062148276
Solution 91,100.0,15332.838058177289,256.154116565624,15076.622695053542,0.06124655812261637
Solution 92,100.0,15337.974040816805,259.30087749825935,15078.60989277841,0.06327054013582101
Solution 93,100.0,15337.577010335965,259.1917997638397,15078.322090012349,0.063120559776915
Solution 94,100.0,15338.376257627935,259.01485503034434,15079.298002327185,0.06340027040677354
Solution 95,100.0,15338.440852785248,259.3173086863007,15079.060080187128,0.06346391181982314
Solution 96,100.0,15338.375797309793,259.08569603682037,15079.226555343252,0.06354592972065087
Solution 97,100.0,15339.081218514277,259.2490814987276,15079.76901601885,0.06312099669912752
Solution 98,100.0,15338.501709980785,259.37484878210614,15079.063465441579,0.06339575709992085
Solution 99,100.0,15337.812278937256,259.08438723147606,15078.664660074257,0.06323163152228739
Solution 100,100.0,16926.526967201073,259.0835425437067,16667.380353610162,0.06307104720265744
Solution 101,100.0,15111.858899281315,259.4081942943608,14852.386834859657,0.0638701272973774
Solution 102,100.0,15338.995688134508,259.0609116098008,15079.871527750704,0.06324877400373685
Solution 103,100.0,15563.769791151964,258.8999744828449,15304.806367419536,0.06344924958280262
Solution 104,100.0,13990.881731929698,259.17798300588174,13731.64030660631,0.06344231750481444
Solution 105,100.0,13736.860869903288,252.63910310001526,13484.157404590884,0.06436221238927797
Solution 106,100.0,9960.58038537643,251.388706504942,9709.132913414258,0.058765457229719154
Solution 107,100.0,9938.228820260645,253.32647645992614,9684.839780103544,0.06256369717394694
Solution 108,100.0,16538.900579216694,259.32620771116706,16279.510895489599,0.06347601592639784
Solution 109,100.0,16517.682572885977,258.7700282124512,16258.849366553573,0.06317811995166733
Solution 110,100.0,16525.2432103695,259.08419208182437,16266.097370032798,0.06164825487822112
Solution 111,100.0,16541.45856127227,259.36130639715844,16282.033721515858,0.06353335925178005
Solution 112,100.0,15338.482802324908,259.3285249523001,15079.090831259897,0.06344611271216705
Solution 113,100.0,15359.746971975594,259.05102517753284,15100.632218870285,0.06372792777513459
Solution 114,100.0,15391.03108563747,258.95187873524355,15132.018036228637,0.061170673590574154
Solution 115,100.0,16514.729014504337,258.7939518991408,16255.877000502633,0.058062102564565454
Solution 116,100.0,15414.312494192909,258.00803521382136,15156.2415690231,0.06288995598901526
Solution 117,100.0,16527.847171462705,259.216762524344,16268.567673612592,0.06273532576774099
Solution 118,100.0,15334.233445856218,259.2496509677318,15074.920350304637,0.06344458384841711
Solution 119,100.0,15480.080505648724,256.848692119508,15223.168341903025,0.06347162619093516
Solution 120,100.0,16496.76846206629,258.91243516168765,16237.792592915479,0.0634339891247756
Solution 121,100.0,15354.348882174316,259.0189631955575,15095.266470649058,0.06344832970092651
Solution 122,100.0,15431.275563757194,256.7028601168624,15174.509245595365,0.06345804496646645
Solution 123,100.0,15347.42368842386,256.02449314150056,15091.335761489852,0.06343379250701286
Solution 124,100.0,15340.2728200717,257.6395403478804,15082.569840799293,0.06343892452522581
Solution 125,100.0,15329.054040551455,257.66263287513624,15071.327971357738,0.06343631858009147
Solution 126,100.0,15326.061380605926,256.6482061929758,15069.349743238166,0.06343117478325655
Solution 127,100.0,15338.112826152486,259.2795738250939,15078.769806698183,0.06344562921038321
Solution 128,100.0,15340.859246927446,259.18998300753157,15081.605818042633,0.06344587728140583
Solution 129,100.0,15338.371161878289,259.2483201009279,15079.059396226867,0.06344555049393696
Solution 130,100.0,15336.414810649738,258.91005463872045,15077.44131242887,0.0634435821479693
Solution 131,100.0,15337.287960118434,259.14204805602975,15078.082467241133,0.06344482127133888
Solution 132,100.0,15336.843100167975,259.1768882343843,15077.602767061677,0.06344487191275727
Solution 133,100.0,15338.273703476572,259.11820162589055,15079.09205690322,0.06344494746162266
Solution 134,100.0,15329.197934126489,257.84128831851257,15071.293208670042,0.06343713793433037
Solution 135,100.0,15338.935668085169,259.36608874236765,15079.50613313361,0.06344620919161104
Solution 136,100.0,15330.362555278467,258.25472779396245,15072.044388244605,0.06343923989929723
Solution 137,100.0,15339.048700147057,259.4294608199243,15079.555792808074,0.06344651905804266
Solution 138,100.0,15291.846508554818,256.2654489558941,15035.517638360845,0.06342123807779854
Solution 139,100.0,15328.232929426566,258.59513204018066,15069.574357139878,0.06344024650674596
Solution 140,100.0,15328.230954640834,258.64484319218127,15069.522670980956,0.06344046769625222
Solution 141,100.0,15336.980833185353,259.20541205131866,15077.71197610236,0.06344503167445381
