Pg_0,Pg_1,Pg_2,contingency_index,W_k,u_j_0,u_j_1,u_j_2,Z_k_0,Z_k_1,Z_k_2
0.0,0.0,0.0,5,0.0028194979167914156,0.003769436222021814,0.10746740554142523,0.1074673999694756,2.705203687414879e-07,0.4226234295828773,3.0669708988628455e-07
0.0,0.0,0.0,6,0.002819497916895897,0.0037694362079763078,0.10746739996910627,0.10746740554179153,2.7052010256656553e-07,3.066970460307528e-07,0.42262342958432336
0.0,0.0,0.0,0,0.0,0.015642540041801368,0.10079599158445521,0.10079599158461573,8.163190484719682e-07,1.0999092444356675e-06,1.0999092444552634e-06
0.0,0.0,0.0,1,0.0,0.015633418360497336,0.10079600264824957,0.10079600264840932,8.747164275495808e-07,1.2095690703100042e-06,1.2095690703911717e-06
0.0,0.0,0.0,2,0.0,0.015681673539251532,0.10079598972907232,0.10079598972923207,7.964180340339203e-07,1.0239101380641485e-06,1.0239101380653746e-06
0.0,0.0,0.0,3,0.0001599777644243865,0.016345589294096696,0.10079592101791536,0.10079592070144607,3.6152984372342606e-09,0.20179369477519532,5.1806205639461295e-09
0.0,0.0,0.0,4,0.0001599777644566976,0.016345555399269695,0.10079592070128636,0.10079592101807511,3.6152409533163978e-09,5.181754068014041e-09,0.20179369488968515
0.0,0.0,0.0,5,0.0001599774104977646,0.016482765701568203,0.10079592101746665,0.10079592063721599,3.9707277574848915e-09,0.20179373531212336,5.93902488869919e-09
0.0,0.0,0.0,6,0.00015997741052978877,0.016482727912590023,0.10079592063705621,0.1007959210176264,3.968100257212488e-09,5.939536060778138e-09,0.20179373556944058
0.0,0.0,0.0,0,0.0,0.01721701902262359,0.10000298349281683,0.10000298349353669,7.356529837366973e-07,1.0019898020310285e-06,1.0019898020416666e-06
0.0,0.0,0.0,1,0.0,0.017204905736347195,0.10000299397147472,0.10000299397219457,7.717474387720728e-07,1.0883842644617589e-06,1.0883842641601133e-06
0.0,0.0,0.0,2,0.0,0.01725842135056149,0.10000298134730366,0.10000298134802361,7.148140569239404e-07,9.259221147641295e-07,9.25922114767883e-07
0.0,0.0,0.0,3,5.83363892132231e-07,0.017865851137690437,0.10000291452301839,0.10000291703141254,2.179941718543668e-08,0.20010182475519098,3.1834340671023334e-08
0.0,0.0,0.0,4,5.833640220077888e-07,0.017865853451423643,0.10000291703069494,0.10000291452373945,2.1799782962897694e-08,3.1834790620322884e-08,0.2001018247122154
0.0,0.0,0.0,5,5.926651446177981e-07,0.018001437064511478,0.10000291351354879,0.10000291698720003,2.3140698773095307e-08,0.2000666299168072,3.533084311800466e-08
0.0,0.0,0.0,6,5.926652587595534e-07,0.018001436039886434,0.10000291698648198,0.10000291351428353,2.3140735180274155e-08,3.533100654948431e-08,0.20006663000424754
310.957925946624,0.0,211.7484816583745,0,0.0,0.00241752570213486,0.10349650020977696,0.10349650020989908,8.541548911612873e-06,9.071166217851081e-06,9.071166217879237e-06
310.957925946624,0.0,211.7484816583745,1,0.0,0.0024216264395701998,0.10349648594860375,0.1034964859487235,9.047420700045811e-06,9.581067521643111e-06,9.581067521742919e-06
310.957925946624,0.0,211.7484816583745,2,0.0,0.0024381678570297802,0.10349650340859443,0.10349650340871795,8.38630388793049e-06,8.864541323178087e-06,8.86454132308377e-06
310.957925946624,0.0,211.7484816583745,3,0.0011691565534050336,0.0035626299513439263,0.10349662615883225,0.10349663108831553,1.1837493213684908e-07,0.40718090590500994,1.3016833666757534e-07
310.957925946624,0.0,211.7484816583745,4,0.001169156553456439,0.003562629858575928,0.10349663108819267,0.10349662615895489,1.1837460413333153e-07,1.3016799239701207e-07,0.4071809059054541
310.957925946624,0.0,211.7484816583745,5,0.0011717160644376535,0.0036441045084218476,0.1034966262120292,0.10349663098358552,1.1094814379354005e-07,0.4072513556346805,1.232149727866501e-07
310.957925946624,0.0,211.7484816583745,6,0.0011717160644898789,0.003644104494746686,0.10349663098346337,0.10349662621215187,1.1094809762433328e-07,1.2321500014794652e-07,0.407251355634803
310.957925946624,0.0,211.7484816583745,0,0.0,0.008120615645553107,0.10061691258252613,0.10061691258252432,2.1384169585279074e-06,2.560210616058536e-06,2.5602106160598954e-06
310.957925946624,0.0,211.7484816583745,1,0.0,0.008119038632654538,0.1006169099496947,0.10061690994968489,1.984756119499361e-06,2.387348223400448e-06,2.3873482230096017e-06
310.957925946624,0.0,211.7484816583745,2,0.0,0.008145902044652488,0.10061691112353514,0.10061691112353274,2.103243458973767e-06,2.4800735370725833e-06,2.4800735370614245e-06
310.957925946624,0.0,211.7484816583745,3,0.0001238639684164113,0.008825214289392576,0.10061681992080727,0.10061682183819791,3.212227884871876e-08,0.20143526750679489,4.0024279518615226e-08
310.957925946624,0.0,211.7484816583745,4,0.00012386396841637556,0.00882521127367661,0.10061682183819982,0.10061681992080534,3.2122685929989645e-08,4.0024759625046995e-08,0.20143526753123667
310.957925946624,0.0,211.7484816583745,5,0.0001238626534923383,0.008901295763875107,0.10061681990675798,0.10061682202528947,3.356062179838392e-08,0.20143529777858604,4.25189976829686e-08
310.957925946624,0.0,211.7484816583745,6,0.00012386265349427215,0.008901298608556209,0.10061682202529115,0.10061681990675608,3.356121220150457e-08,4.251928099141208e-08,0.20143529776232005
310.957925946624,0.0,211.7484816583745,0,0.0,0.009344379653298485,0.0999996693640725,0.09999966936409484,1.7669533613930513e-06,2.1556931814449e-06,2.1556931814450715e-06
310.957925946624,0.0,211.7484816583745,1,0.0,0.009341280156536635,0.09999966802759705,0.09999966802761467,1.6545585418517084e-06,2.0353207581844566e-06,2.035320758008927e-06
310.957925946624,0.0,211.7484816583745,2,0.0,0.009370644413541521,0.09999966767879674,0.09999966767881803,1.7331066592042955e-06,2.0787018482958716e-06,2.07870184824628e-06
310.957925946624,0.0,211.7484816583745,3,1.5934819895372768e-09,0.010018064970979998,0.0999995802540773,0.09999958075799052,1.0717498828499075e-08,0.0006630133025322338,1.3661901841769407e-08
