contingency_index,W_k,Pg_0,Pg_1,Pg_2,u_j_0,u_j_1,u_j_2,Z_k_0,Z_k_1,Z_k_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,X_0,X_1,X_2,X_3,X_4,X_5,X_6,B_0,B_1,B_2,B_3,B_4,B_5,B_6,active_0,active_1,active_2,active_3,active_4,active_5,active_6
4,0.00012624739383927213,0.009655020800228337,0.10058834673397313,0.10062864804580215,0.010600143426841183,0.10058834861867062,0.10062864803746453,2.7169159608598405e-08,3.5127073238054124e-08,0.20145898566420858,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,1,1,1,0
5,0.0001181314762116957,0.009655020800228337,0.10058834673397313,0.10062864804580215,0.010681000379668184,0.10058834673066293,0.1006286499190651,2.844570880964553e-08,0.2013782052453556,3.755779905545761e-08,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,1,0,1,1
6,0.00012624601845558016,0.009655020800228337,0.10058834673397313,0.10062864804580215,0.010685206823479574,0.10058834880906015,0.10062864802549219,2.8340034327532257e-08,3.741298218085741e-08,0.20145901814673384,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,1,1,0,1
0,0.0,0.01086068803241362,0.10000138761692917,0.1000010959981568,0.01110280347668647,0.10000147152723528,0.10000117991627919,1.3843859407478444e-06,1.7377975898925599e-06,1.737795641841987e-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,0,1,1,1,1,1,1
1,0.0,0.01086068803241362,0.10000138761692917,0.1000010959981568,0.011097175628622473,0.10000147323136735,0.10000118158827263,1.3324276059852361e-06,1.6947977832121883e-06,1.6947954671981846e-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,0,1,1,1,1,1
2,0.0,0.01086068803241362,0.10000138761692917,0.1000010959981568,0.011130901077669161,0.10000146930122382,0.10000117769044256,1.347359613243415e-06,1.654513357157479e-06,1.654511717517122e-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,0,1,1,1,1
3,2.096577049125733e-07,0.01086068803241362,0.10000138761692917,0.1000010959981568,0.011772314297888676,0.10000138807847554,0.10000111010919988,1.7353297797007427e-07,0.19526669466210503,2.29669982383516e-07,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,0,1,1,1
4,0.0,0.01086068803241362,0.10000138761692917,0.1000010959981568,0.011778782057735564,0.1000012697857862,0.10000104567229767,2.7008450746415747e-07,3.5635561723425213e-07,0.12587030112269437,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,1,1,1,0
5,2.786530311866027e-07,0.01086068803241362,0.10000138761692917,0.1000010959981568,0.011856333101517964,0.10000138762321899,0.10000109626195076,5.123503383532894e-09,0.20015926746282267,6.909449716340844e-09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,1,0,1,1
6,1.5832998221259723e-07,0.01086068803241362,0.10000138761692917,0.1000010959981568,0.011855662374737426,0.10000139598147835,0.10000108344952183,2.1839295461152166e-07,2.944157490525552e-07,0.20020458432880087,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,1,1,0,1
0,0.0,0.005123684649172717,0.10215213328372506,0.10391513439145733,0.005138427026596366,0.10215208074799173,0.1039152245576586,3.4298782344877694e-06,3.912386949084449e-06,3.926857629024099e-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,0,1,1,1,1,1,1
1,0.0,0.005123684649172717,0.10215213328372506,0.10391513439145733,0.0051429746768747895,0.1021520101048922,0.10391510234174638,3.475597869705988e-06,3.941371988208267e-06,3.956155068499312e-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,0,1,1,1,1,1
2,0.0,0.005123684649172717,0.10215213328372506,0.10391513439145733,0.005167130802967154,0.10215209253313763,0.10391522291338719,3.35918477937056e-06,3.7527272479147667e-06,3.7672499235332945e-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,0,1,1,1,1
3,0.0006251119980921821,0.005123684649172717,0.10215213328372506,0.10391513439145733,0.006220785139176643,0.10215213271660133,0.10391513614139787,3.502491931156175e-08,0.4019603583810046,4.130838357216777e-08,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,0,1,1,1
4,0.0013397921539887653,0.005123684649172717,0.10215213328372506,0.10391513439145733,0.006246279170865875,0.10215213248625703,0.10391513421845534,1.9855177320098302e-08,2.3327130376498786e-08,0.4087854092484296,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,1,1,1,0
5,0.0006281426946344814,0.005123684649172717,0.10215213328372506,0.10391513439145733,0.006398386252582276,0.10215214650426066,0.10391514341453417,1.8102735143169001e-06,0.4020382046997467,2.19903761594667e-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,1,0,1,1
6,0.0013428616889793886,0.005123684649172717,0.10215213328372506,0.10391513439145733,0.006420626669199307,0.10215213445806506,0.10391513398987243,2.2389892718911845e-08,2.705914579978198e-08,0.40888180181986383,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,1,1,0,1
0,0.0,0.009693595609157226,0.10058799420877661,0.10062902529820734,0.009942160166099478,0.10058808295807066,0.10062911322175064,1.6483929363659925e-06,2.058881865579926e-06,2.059185845276646e-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,0,1,1,1,1,1,1
1,0.0,0.009693595609157226,0.10058799420877661,0.10062902529820734,0.009942787241768954,0.10058807901902987,0.10062911207050731,1.5394388266627332e-06,1.9267549096057494e-06,1.9270429051700427e-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,0,1,1,1,1,1
2,0.0,0.009693595609157226,0.10058799420877661,0.10062902529820734,0.00997851713929918,0.1005880795624257,0.10062910959940563,1.584039220393614e-06,1.9086701007189162e-06,1.9089779739604217e-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,0,1,1,1,1
3,0.00011806237596384938,0.009693595609157226,0.10058799420877661,0.10062902529820734,0.010621785393570855,0.10058799420946736,0.10062902691465953,2.6815654852002783e-08,0.20137746656348876,3.45906758388746e-08,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,0,1,1,1
4,0.00012632411265543203,0.009693595609157226,0.10058799420877661,0.10062902529820734,0.01062582708804305,0.10058799599317036,0.10062902529436915,2.6379319362210515e-08,3.4023368124737094e-08,0.2014597267514993,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,1,1,1,0
5,0.000118061666095746,0.009693595609157226,0.10058799420877661,0.10062902529820734,0.010770301755408144,0.10058799420804315,0.10062902717469618,2.9665023085565063e-08,0.20137751635819534,3.969388129789009e-08,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,1,0,1,1
